doi	title	abstract	labels
10.1007/978-3-319-75361-4_13	International changes in environmental conditions and their personal health consequences		['SDG03', 'SDG15']
10.1371/journal.pone.0118851	Emerging ecosystems change the spatial distribution of top carnivores even in poorly populated areas		['SDG11', 'SDG13']
10.3109/10826084.2015.1058823	Types and Characteristics of Childhood Sexual Abuse: How Do They Matter in HIV Sexual Risk Behaviors among Women in Methadone Treatment in New York City?		['SDG05', 'SDG16']
10.5194/essd-9-181-2017	Global nitrogen and phosphorus fertilizer use for agriculture production in the past half century: Shifted hot spots and nutrient imbalance		['SDG02', 'SDG06']
10.1111/ppe.12211	Poverty, Pregnancy, and Birth Outcomes: A Study of the Earned Income Tax Credit		['SDG01']
10.1080/03071022.2015.1108708	Living on the edge: Welfare and the urban poor in 1930s Beijing		['SDG01']
10.1145/2908446.2908465	Ontology for alleviating poverty among farmers in Nigeria		['SDG01']
10.18814/epiiugs/2017/v40i1/017010	Geology and the Sustainable Development Goals	This paper presents an overview and visualisation of the role of geology in the Sustainable Development Goals (SDGs). These internationally-agreed goals aim to eradicate global poverty, end unsustainable consumption patterns, and facilitate sustained and inclusive growth, social development, and environmental protection. Through a matrix visualisation, this paper presents a synthesis that relates the 17 agreed SDGs to 11 key aspects of geology. Aspects considered are agrogeology, climate change, energy, engineering geology, geohazards, geoheritage and geotourism, hydrogeology and contaminant geology, mineral and rock resources, geoeducation, geological capacity building, and a miscellaneous category. The matrix demonstrates that geologists have a role in achieving all 17 of the SDGs. Three topics relating to improved engagement by geologists with international development are then highlighted for discussion. These are the development of supporting skills in education, improving transnational research collaborations, and ensuring respectful capacity building initiatives. This synthesis can help mobilise the broader geology community to engage in the SDGs, allowing those working on specific aspects of geology to consider their work in the context of sustainable development. The contribution that geologists can make to sustainable development is also demonstrated to other relevant disciplines, and development policy and practitioner communities	['SDG01']
10.15446/cuad.econ.v36n72.65871	A tale of two decades: Income inequality and public policy in Argentina (1996-2014)	This article analyses the evolution of income inequality in Argentina through the decomposition of the Gini coefficient by income sources. The dynamic analysis allows for simultaneous changes in participation and concentration of different income sources to be understood. The time periods that are the object of the analysis contrast diverse macroeconomic contexts, labour market institutions and social protection policies that were implemented. The results indicate that labour income is the main driver of distributive dynamics while retirement income has also played an important role. We also find that the evolution of income distribution in Argentina is closely related to labour market institutions and macroeconomics.Este artículo examina la evolución de la desigualdad del ingreso Argentina, por medio de la descomposición del coeficiente de Gini por fuentes de ingreso. El análisis dinámico permite la comprensión de los cambios simultáneos en la participación y concentración de las fuentes de ingresos. El periodo de análisis contrasta contextos macroeconómicos diferentes, las instituciones del mercado de trabajo y las políticas de protección social implementadas. Los resultados indican que los ingresos laborales son el principal conductor de la dinámica distributiva y que, a su vez, los ingresos de las jubilaciones y pensiones también han tenido un papel importante. También observamos que la evolución de la distribución del ingreso en Argentina se ve afectada por la evolución de las instituciones y la macroeconomía del mercado laboral.Instituto de Investigaciones en Humanidades y Ciencias Sociale	['SDG01']
10.1016/j.paed.2017.12.003	Practising ‘social paediatrics’: what do the social determinants of child health mean for professionalism and practice?		['SDG01']
