id	title	abstract	human_annotator
493194085	Anti-Trafficking (ILL-)Efforts: The Legal Regulation of Women’s Bodies and Relationships in Cambodia	Global imaginations on human trafficking have been captured by a robust mythology that constructs the consenting Third World sex worker as simply a victim of trafficking for sexual exploitation. This anti-trafficking discourse has influenced Cambodia’s legal reform, which has resulted in an increase of abuse against sex workers and has denied Cambodian women their right to marry foreign men. Despite evidence indicating the diversity of the sex industry and its correlation to different levels of sex workers’ autonomy, decision-makers have failed to revise the anti-trafficking framework to reflect the reality of the divergent lives of women who engage in sex as a livelihood	['SDG05', 'SDG08']
479296219	Unemployment and Making a Living	The issue of employment seems simple on the surface but conceals complexity and contestation. The massive transformations in global economy and society over the last decades include the huge change from rural to urban societies; disruptive changes from predominantly agrarian towards precarious service sector 'informal' employment; and moves from mechanical forms of industry towards the information age and the rise of the internet	['SDG08', 'SDG10']
478833192	‘Epidemics in a Mist’: Medical Climatology and Cholera in Victorian Visual Culture	The article explores how Victorian visual culture was a vital force in the construction and dissemination of medical theories on the connection between climate and health. During the nineteenth century, the seemingly inexplicable and deadly nature of many epidemic diseases compelled British medics to investigate all possible reasons for their spread. Focusing on cholera, the article will examine how, in an effort to understand what was seen at the time as a mysterious disease, Victorian medics increasingly concentrated on the climate of India and unusual weather in Britain as propagators of the malady. Supplementing the dominant miasma theory, medics explained how the seemingly airborne sources of cholera resulted from a state of England’s air that resembled the tropical environment of the subcontinent. In an effort to highlight the correlation between cholera and the atmosphere, they produced medical climatology reports containing diagrams that juxtaposed the data on the disease’s mortality rates with measurements of meteorological phenomena. These images, rather than serving simply as illustrations, became a crucial part of medical arguments. As the article will demonstrate, in attempting to visualize the medical climatology of cholera, the diagrams mapped the disease to certain atmospheric conditions, suggesting that cholera could be quantified and controlled. Yet, in doing so, the images also implied that cholera had a real material presence in the air of Britain, powerfully evoking visual tropes of the disease as a substance that had the potential to contaminate the very landscape of the nation	['SDG03']
541720690	Mobile Messaging and Resourcefulness: A Post-digital Ethnography	This book advocates a new post-digital linguistic ethnography approach to unpacking mobile communication and enabling a more informed understanding of individuals’ communicative practices in cities today. Drawing on data from a group of ordinary working people, multilingual individuals from superdiverse cities across the United Kingdom, the volume brings observations from this data together to form a new concept of ‘resourcefulness’ as a means of explaining the emergent sense of agency individuals develop towards remediating existing forms of technology in their everyday lives. The book in turn establishes the notion of the ‘networked individual’ by way of demonstrating the ways in which communicative practices cross spaces and platforms. Further chapters detail examples to highlight resourcefulness at work in enabling more efficient business communication, routes to self-expression and the creation and development of social support systems, while a concluding chapter looks at both the limitations and possibilities of resourcefulness and directions for future research. This innovative volume will be of particular interest to students and researchers in applied linguistics, sociolinguistics, linguistic ethnography, and media and communication studies	['SDG04']
428927379	Toward an LGBT-affirmative informed paradigm for children who break gender norms: A comment on Drummond et al	In this commentary, the author reviews methodological and conceptual shortcomings of recent articles by K. D. Drummond, S. J. Bradley, M. Peterson-Badali, and K. J. Zucker (2008) as well as G. Rieger, J. A. W. Linsenmeier, L. Gygax, and J. M. Bailey (2008), which sought to predict adult sexual identity from childhood gender identity. The author argues that such research needs to incorporate a greater awareness of how stigmatization affects identity processes. Multidimensional models of gender identity that describe variation in children’s responses to pressure to conform to gender norms are particularly useful in this regard (S. K. Egan & D. G. Perry, 2001). Experiments on the interpretation of developmental data are reviewed to evidence how cultural assumptions about sexuality can impact theories of sexual identity development in unintended ways. The author concludes that understanding the development of children presumed most likely to grow up with sexual minority identities requires a consideration of the cultural contexts in which identities develop and in which psychologists theorize	['SDG04']
590242813	Nursing students experiences of end-of-life care	Background: Undergraduate nursing students spend a significant amount of time in clinical placements where they are involved in care at the end of a person's life and care after death. While their role is to provide compassionate care, some students feel wholly unprepared. Aims: The aim of this qualitative study was to explore student nurses’ experiences of care in death, dying and post death care, and to explore how students can be better prepared to provide such care. Methods: This is a qualitative descriptive study that is concerned with the subjective reality of participant's experiences. Findings: Six themes were developed from the analysis: first encounters with death and dying; preparedness; mentoring and support received; the caring role; striving to cope; working with families and working through COVID-19. Conclusion: Students described their experience of placements in end-of-life care as challenging, yet were also able to adopt ways to develop as compassionate practitioners	['SDG04']
541720661	(Wo)men in the Middle: The Gendered Role of Supporting Prisoners	Prisons are, by their very nature, gendered institutions. Despite women making up a small percentage of the prison population (House of Commons Library, 2020), those supporting prisoners are generally women - especially mothers and partners (Booth and Masson, 2021; Codd, 2008). In understanding women’s experiences of criminal justice, it is prudent to consider the women who are punished by the system despite not being incarcerated themselves. This chapter sheds light on these women’s experiences. First, through a review of the growing international literature that illustrates how the economic and relational implications as well as the health, stigma and care for children of prisoners are overwhelmingly experienced by women in the community attempting to keep their families together. Following this, a case study showcasing the excellent work of one organisation, The Straight Path Resettlement Project (SPR) in Leicester, England, discusses Ferzana Dakri’s experience of working in the community with ‘BAME’ Muslim women who have imprisoned loved ones. In viewing prison as sites of punishment, and appreciating how these pains extend beyond those incarcerated, this chapter draws attention to the multiple ways that women supporting prisoners are simultaneously harmed	['SDG16', 'SDG05']
564341549	ChatGPT and the Future of Legal Education and Practice	The launch of ChatGPT, a natural language open-source AI platform, in November 2022 has taken the world by storm and artificial intelligence appears to be at a watershed moment in technological advancement. This article explores the emergence of ChatGPT and considers the implications for legal education and practice. It will examine how Law Schools can develop strategies for assessments to make them more challenging for generative AI while educating students on its potential in the workplace. All legal educators are now on a journey to navigate the complexities of open-source AI technology and comprehend its implications. We cannot ignore or underestimate the potential impact on both legal education and legal practice, and we must consider new methods to incorporate AI technology into our teaching	['SDG04']
591806949	Validation of Chinese version of the 5-item WHO well-being index in type 2 diabetes mellitus patients	Background: For better disease management and improved prognosis, early identification of co-morbid depression in diabetic patients is warranted. the WHO-5 well-being index (WHO-5) has been used to screen for depression in diabetic patients, and its Chinese version (WHO-5-C) has been validated. However, its psychometric properties remain to be further validated in the type 2 diabetes patient population. The aim of our study was to examine the reliability and validity of the WHO-5-C in patients with type 2 diabetes mellitus. Methods: The cross-sectional study was conducted on 200 patients from July 2014 to March 2015. All patients should complete the WHO-5-C, the Patient Health Questionnaire-9 (PHQ-9), the 20-item Problem Areas in Diabetes Scale (PAID-20), the Mini International Neuropsychiatric Interview (M.I.N.I), and Hamilton Rating Scale for Depression (HAM-D). Internal consistency of WHO-5 was revealed by Cronbach’s alpha, and constructive validity by confirmatory factor analysis (CFA). Relationship with PHQ-9, HAM-D, and PAID-20 was examined for concurrent validity, and ROC analysis was performed for criterion validity. Results: The WHO-5-C presented satisfactory reliability (Cronbach’s alpha = 0.88). CFA confirmed the unidimensional factor structure of WHO-5-C. The WHO-5-C had significant negative correlation with HAM-D (r = -0.610), PHQ-9 (r = -0.694) and PAID-20 (r = -0.466), confirming good concurrent validity. Using M.I.N.I as the gold standard, the cut-off value of WHO-5-C was 42, with a sensitivity of 0.83 and specificity of 0.75. Conclusion: The WHO-5-C holds satisfactory reliability and validity that is suitable for depression screening in type 2 diabetes patients as a short and convenient instrument	['SDG03']
478547507	Mapping Disagreement around Smart City devices	This paper is a preliminary report of a longterm participant-actor ethnography following a Smart City mobile phone app that is part of a EU research project. The study uses an actor-network theory approach to follow the app and via interviews with the app designer and observations of the EU research project, argues that these technologies are surprising human/machine hybrids whose main qualities are their affective affordances which enrol large numbers of users. The paper tracks a number of contradictory framings and uncovers ontological disagreement about what the app is sensing. Smart City technologies have not been black boxed yet, and are still at the stage of performing as affective hybrids that need to enrol actors. This means that the networks around Smart Cities are still malleable and it is still possible to critique existing tools and to develop new models and forms of agency for Smart City technologies	['SDG09']
