id	title	abstract
82901821	The religious census of 1851 in Yorkshire	Examines the patterns of religious worship revealed in the Census and discussing the reliability of the data and the uses it can be put to
591441752	Quantifying the complexity of plant reproductive structures reveals a history of morphological and functional integration	Vascular plant reproductive structures have undoubtedly become more complex through time, evolving highly differentiated parts that interact in specialized ways. But quantifying these patterns at broad scales is challenging because lineages produce disparate reproductive structures that are often difficult to compare and homologize. We develop a novel approach for analysing interactions within reproductive structures using networks, treating component parts as nodes and a suite of physical and functional interactions among parts as edges. We apply this approach to the plant fossil record, showing that interactions have generally increased through time and that the concentration of these interactions has shifted towards differentiated surrounding organs, resulting in more compact, functionally integrated structures. These processes are widespread across plant lineages, but their extent and timing vary with reproductive biology; in particular, seed-producing structures show them more strongly than spore or pollen-producing structures. Our results demonstrate that major reproductive innovations like the origin of seeds and angiospermy were associated with increased integration through greater interactions among parts. But they also reveal that for certain groups, particularly Mesozoic gymnosperms, millions of years elapsed between the origin of reproductive innovations and increased interactions among parts within their reproductive structures
493194085	Anti-Trafficking (ILL-)Efforts: The Legal Regulation of Women’s Bodies and Relationships in Cambodia	Global imaginations on human trafficking have been captured by a robust mythology that constructs the consenting Third World sex worker as simply a victim of trafficking for sexual exploitation. This anti-trafficking discourse has influenced Cambodia’s legal reform, which has resulted in an increase of abuse against sex workers and has denied Cambodian women their right to marry foreign men. Despite evidence indicating the diversity of the sex industry and its correlation to different levels of sex workers’ autonomy, decision-makers have failed to revise the anti-trafficking framework to reflect the reality of the divergent lives of women who engage in sex as a livelihood
479296219	Unemployment and Making a Living	The issue of employment seems simple on the surface but conceals complexity and contestation. The massive transformations in global economy and society over the last decades include the huge change from rural to urban societies; disruptive changes from predominantly agrarian towards precarious service sector 'informal' employment; and moves from mechanical forms of industry towards the information age and the rise of the internet
478833192	‘Epidemics in a Mist’: Medical Climatology and Cholera in Victorian Visual Culture	The article explores how Victorian visual culture was a vital force in the construction and dissemination of medical theories on the connection between climate and health. During the nineteenth century, the seemingly inexplicable and deadly nature of many epidemic diseases compelled British medics to investigate all possible reasons for their spread. Focusing on cholera, the article will examine how, in an effort to understand what was seen at the time as a mysterious disease, Victorian medics increasingly concentrated on the climate of India and unusual weather in Britain as propagators of the malady. Supplementing the dominant miasma theory, medics explained how the seemingly airborne sources of cholera resulted from a state of England’s air that resembled the tropical environment of the subcontinent. In an effort to highlight the correlation between cholera and the atmosphere, they produced medical climatology reports containing diagrams that juxtaposed the data on the disease’s mortality rates with measurements of meteorological phenomena. These images, rather than serving simply as illustrations, became a crucial part of medical arguments. As the article will demonstrate, in attempting to visualize the medical climatology of cholera, the diagrams mapped the disease to certain atmospheric conditions, suggesting that cholera could be quantified and controlled. Yet, in doing so, the images also implied that cholera had a real material presence in the air of Britain, powerfully evoking visual tropes of the disease as a substance that had the potential to contaminate the very landscape of the nation
589997137	Transiting Exoplanet Yields for the Roman Galactic Bulge Time Domain Survey Predicted from Pixel-level Simulations	The Nancy Grace Roman Space Telescope (Roman) is NASA’s next astrophysics flagship mission, expected to launch in late 2026. As one of Roman’s core community science surveys, the Galactic Bulge Time Domain Survey (GBTDS) will collect photometric and astrometric data for over 100 million stars in the Galactic bulge in order to search for microlensing planets. To assess the potential with which Roman can detect exoplanets via transit, we developed and conducted pixel-level simulations of transiting planets in the GBTDS. From these simulations, we predict that Roman will find between ∼60,000 and ∼200,000 transiting planets—over an order of magnitude more planets than are currently known. While the majority of these planets will be giants (Rp > 4R⊕) on close-in orbits (a p ⊕). The yield for small planets depends sensitively on the observing cadence and season duration, with variations on the order of ∼10%–20% for modest changes in either parameter, but is generally insensitive to the trade between surveyed area and cadence given constant slew/settle times. These predictions depend sensitively on the Milky Way’s metallicity distribution function, highlighting an opportunity to significantly advance our understanding of exoplanet demographics, in particular across stellar populations and Galactic environments
589997141	How might the study of the Brady Photographic Archive contribute to the understanding of the changing reception and use of vernacular photography in art history?	None
541720690	Mobile Messaging and Resourcefulness: A Post-digital Ethnography	This book advocates a new post-digital linguistic ethnography approach to unpacking mobile communication and enabling a more informed understanding of individuals’ communicative practices in cities today. Drawing on data from a group of ordinary working people, multilingual individuals from superdiverse cities across the United Kingdom, the volume brings observations from this data together to form a new concept of ‘resourcefulness’ as a means of explaining the emergent sense of agency individuals develop towards remediating existing forms of technology in their everyday lives. The book in turn establishes the notion of the ‘networked individual’ by way of demonstrating the ways in which communicative practices cross spaces and platforms. Further chapters detail examples to highlight resourcefulness at work in enabling more efficient business communication, routes to self-expression and the creation and development of social support systems, while a concluding chapter looks at both the limitations and possibilities of resourcefulness and directions for future research. This innovative volume will be of particular interest to students and researchers in applied linguistics, sociolinguistics, linguistic ethnography, and media and communication studies
428927379	Toward an LGBT-affirmative informed paradigm for children who break gender norms: A comment on Drummond et al	In this commentary, the author reviews methodological and conceptual shortcomings of recent articles by K. D. Drummond, S. J. Bradley, M. Peterson-Badali, and K. J. Zucker (2008) as well as G. Rieger, J. A. W. Linsenmeier, L. Gygax, and J. M. Bailey (2008), which sought to predict adult sexual identity from childhood gender identity. The author argues that such research needs to incorporate a greater awareness of how stigmatization affects identity processes. Multidimensional models of gender identity that describe variation in children’s responses to pressure to conform to gender norms are particularly useful in this regard (S. K. Egan & D. G. Perry, 2001). Experiments on the interpretation of developmental data are reviewed to evidence how cultural assumptions about sexuality can impact theories of sexual identity development in unintended ways. The author concludes that understanding the development of children presumed most likely to grow up with sexual minority identities requires a consideration of the cultural contexts in which identities develop and in which psychologists theorize
590242813	Nursing students experiences of end-of-life care	Background: Undergraduate nursing students spend a significant amount of time in clinical placements where they are involved in care at the end of a person's life and care after death. While their role is to provide compassionate care, some students feel wholly unprepared. Aims: The aim of this qualitative study was to explore student nurses’ experiences of care in death, dying and post death care, and to explore how students can be better prepared to provide such care. Methods: This is a qualitative descriptive study that is concerned with the subjective reality of participant's experiences. Findings: Six themes were developed from the analysis: first encounters with death and dying; preparedness; mentoring and support received; the caring role; striving to cope; working with families and working through COVID-19. Conclusion: Students described their experience of placements in end-of-life care as challenging, yet were also able to adopt ways to develop as compassionate practitioners
478919686	A Generalization of the Zipf-Mandelbrot Law in Linguistics	Human language evolved by natural mechanisms into an efficient system capable of coding and transmitting highly structured information [12, 13, 14]. As a remarkable complex system it allows many levels of description across its organizational hierarchy [1, 11, 18]. In this context statistical analysis stands as a valuable tool in order to reveal robust structural patterns that may have resulted from its long evolutionary history. In this chapter we shall address the statistical regularities of human language at its most basic level of description, namely the rank-frequency distribution of words. Around 1932 the philologist George Zipf [6, 19, 20] noted the manifestation of several robust power-law distributions arising in different realms of human activity. Among them, the most striking was undoubtedly the one referring to the distribution of words frequencies in human languages. The best way to introduce Zipf's law for words is by means of a concrete example. Let us take a literary work, say, James Joyce's Ulysses, and perform some basic statistics on it, whic simply consists in counting all the words present in the text and noting how many occurrences each distinct word form has. For this particular text we should arrive at the following numbers: the total number of words N = 268,112, and the number of different word forms V = 28,838. We can now order the list of different words according to decreasing number of occurrences, and we can assign to each word a rank index s equal to its position in the list starting from the most frequent word. Some general features of the rank-ordered list of words can be mentioned at this point. First, the top-rank words are functional components of language devoid of direct meaning, such as the article the and prepositions, for instance. A few ranks down the list, words more related to the contents of the text start to appear
590242806	[Book Review] Anandini Dar, Divya Kannan (Eds) Childhood and youth in India: Engagements with modernity	None
541720661	(Wo)men in the Middle: The Gendered Role of Supporting Prisoners	Prisons are, by their very nature, gendered institutions. Despite women making up a small percentage of the prison population (House of Commons Library, 2020), those supporting prisoners are generally women - especially mothers and partners (Booth and Masson, 2021; Codd, 2008). In understanding women’s experiences of criminal justice, it is prudent to consider the women who are punished by the system despite not being incarcerated themselves. This chapter sheds light on these women’s experiences. First, through a review of the growing international literature that illustrates how the economic and relational implications as well as the health, stigma and care for children of prisoners are overwhelmingly experienced by women in the community attempting to keep their families together. Following this, a case study showcasing the excellent work of one organisation, The Straight Path Resettlement Project (SPR) in Leicester, England, discusses Ferzana Dakri’s experience of working in the community with ‘BAME’ Muslim women who have imprisoned loved ones. In viewing prison as sites of punishment, and appreciating how these pains extend beyond those incarcerated, this chapter draws attention to the multiple ways that women supporting prisoners are simultaneously harmed
